F1,F2,F3,F4,F5,Ex1,Ex2,Ex3,Avg
3,10,10,0.1,0.1,0.0007077651323114664,0.0008805890503242597,0.0008054605314183338,0.00079793823801802
3,10,10,0.1,0.9,0.000816761460398413,0.0007408871656315597,0.0007004763436203598,0.0007527083232167775
3,10,10,0.9,0.1,0.0005945041035823329,0.0009788953107979226,0.0007598922884810844,0.0007777639009537799
3,10,10,0.9,0.9,0.0007237545342803353,0.0007756329909193727,0.0006911952060402182,0.0007301942437466421
3,10,90,0.1,0.1,0.0006631464253873676,0.0007307285814402431,0.0006453059268682337,0.0006797269778986148
3,10,90,0.1,0.9,0.0006699302616331726,0.0022047412124337473,0.0005247748439920485,0.0011331487726863227
3,10,90,0.9,0.1,0.000782686146627215,0.0006816528226225305,0.002024476219128074,0.0011629383961259399
3,10,90,0.9,0.9,0.0005660304821692996,0.0010619002416176748,0.0005837166868419563,0.0007372158035429769
3,90,10,0.1,0.1,0.00015820842160435555,0.0001242318261839015,0.00015518871103889498,0.00014587631960905068
3,90,10,0.1,0.9,0.00019187276617879667,0.00021704408886299986,0.0001265267781715429,0.00017848121107111314
3,90,10,0.9,0.1,8.71404081510263e-05,0.00018112705331044254,0.0001805531974888308,0.00014960688631676655
3,90,10,0.9,0.9,0.0001379550385902928,0.00013545539363229997,0.00016340088781122142,0.00014560377334460473
3,90,90,0.1,0.1,0.0002034011398041602,0.0001156048017701139,0.0001211179206019597,0.0001467079540587446
3,90,90,0.1,0.9,0.00019813898635995253,0.00024029699948110994,0.00015800618317002302,0.0001988140563370285
3,90,90,0.9,0.1,0.00012423340640163594,0.00016039342037493798,0.00016620041262260798,0.00015027574646639397
3,90,90,0.9,0.9,0.00011841562116884918,0.00020060765741411468,0.000194484517570509,0.00017116926538449095
8,10,10,0.1,0.1,0.031135756764856408,0.034287470253546906,0.03692356522061188,0.034115597413005065
8,10,10,0.1,0.9,0.03918571065636544,0.03336695873067605,0.03448910443808836,0.035680591275043284
8,10,10,0.9,0.1,0.03431411229601642,0.027852206584223986,0.038666687133549926,0.033611002004596775
8,10,10,0.9,0.9,0.02623567904133759,0.0316029233942923,0.0276756148933089,0.028504739109646265
8,10,90,0.1,0.1,0.031834746625343906,0.030432720092162094,0.03587302088864798,0.032713495868717996
8,10,90,0.1,0.9,0.027862708240596744,0.03387212765740483,0.03716000884540826,0.03296494824780328
8,10,90,0.9,0.1,0.027966457149693313,0.028790500878098223,0.035385577005502815,0.03071417834443145
8,10,90,0.9,0.9,0.033837416932073275,0.035792457275092886,0.03228528345740308,0.03397171922152308
8,90,10,0.1,0.1,0.017333326780503998,0.016170564257621325,0.01805211104164857,0.0171853340265913
8,90,10,0.1,0.9,0.017072214557177293,0.014180973467609591,0.018467857987543024,0.01657368200410997
8,90,10,0.9,0.1,0.016423365042783404,0.018779101930805328,0.017376508304330796,0.017526325092639843
8,90,10,0.9,0.9,0.015354745941491782,0.017674137520263207,0.016725451350242983,0.01658477827066599
8,90,90,0.1,0.1,0.0191852569319337,0.01923141588234928,0.017254438992337993,0.018557037268873658
8,90,90,0.1,0.9,0.015900469840035764,0.01741338287180899,0.016817546741135274,0.016710466484326676
8,90,90,0.9,0.1,0.016496696249998152,0.016781315917401854,0.01936091300088063,0.01754630838942688
8,90,90,0.9,0.9,0.01669429522032121,0.01739811843320184,0.018155479631454016,0.01741596442832569
