F1,F2,F3,F4,F5,Ex1,Ex2,Ex3,Avg
3,19,32,0.9,0.25,0.0005593047476912805,0.0003475977699538835,0.0003671779000101183,0.00042469347255176076
3,96,66,0.65,0.35,0.00019114342451836963,8.746376958149171e-05,0.0001527245301598812,0.0001437772414199142
3,47,36,0.65,0.8,0.00026743525754710507,0.00029470142045914804,0.0002342221200148653,0.0002654529326737061
3,47,12,0.2,0.2,0.00022305050191004372,0.0002821026191681397,0.00018659875739027165,0.00023058395948948504
3,59,17,0.85,0.85,0.00020350998270399212,0.0001691018686970358,0.00020019275800053915,0.00019093486980052235
3,57,75,0.2,0.25,0.0001657958808058968,0.00021814165739639235,0.00017766069736485646,0.0001871994118557152
3,67,93,0.55,0.8,0.00012423514251277967,0.00021119836051572416,0.00021140348997203406,0.00018227899766684597
3,75,97,0.8,0.6,0.00020560190124777056,0.0001269397664081795,0.0001601934021487894,0.0001642450232682465
3,29,17,0.9,0.15,0.000325668910267779,0.00031561258834134076,0.00025206070703551187,0.0002977807352148772
3,60,41,0.45,0.4,0.00020017587974488493,0.00020915156612050234,0.0002063234253467383,0.00020521695707070853
3,32,15,0.6,0.2,0.00024353522580788933,0.00023524503918984085,0.00019222632002077744,0.00022366886167283587
3,45,80,0.15,0.5,0.0001890616967966663,0.00030232687465167607,0.0002932996473513083,0.0002615627395998836
3,71,95,0.1,0.6,0.00017742519597838124,0.00016640814868806864,0.0001774188905825369,0.0001737507450829956
3,59,85,0.6,0.6,0.00014959567929059836,0.00014356448494243224,0.00022576167600052433,0.0001729739467445183
3,73,58,0.5,0.9,0.00016611117624570904,0.0002734362352582176,0.00017222874891922868,0.00020392538680771843
3,16,79,0.6,0.6,0.0004588024050679873,0.00046877052223390225,0.0003696805657295854,0.00043241783101049164
3,80,73,0.15,0.8,0.00016921811120357289,0.0001718336201610715,0.00021399958173931588,0.00018501710436798677
3,24,66,0.1,0.45,0.0004938995423191261,0.0003648978607454778,0.00045919002764571726,0.00043932914357010705
